User,Fairness
APAIWCJHGX629,0.6521902390971018
A2X2GEABQXRX7P,0.6543970119113803
AAHV0LYDMZGY8,0.6681172792101103
A3K9OQPCI8UJE,0.6696522504005956
A1IB42LRNA9QLW,0.711195046952049
A2W7M00WSI4JND,0.7254954504144265
A17RFKCYS69M3Y,0.726513406015314
A2F9CJMZL8RV5X,0.730324355071739
A2AAS19L5VE69J,0.7315293321034972
A30H8ACW807Q2F,0.7369293350397398
A118PM0B1PGWDA,0.7411733422392233
A1UB6Z3RO4TQYW,0.7442067790180694
A26XO77O4UZAM1,0.7499906957308923
ALAJL3S09HBS7,0.7592459134182608
A2KFKEME4A9ATW,0.7598102595841815
ASSWUAOO49Z8Q,0.7602232134850467
A136IQFGB01KQB,0.7623767531187907
A6M441DQ7HL09,0.762658580624031
AZVME8JMPD3F4,0.7642677266874739
A6YFBJS4CO4LK,0.7649330902911897
A2GWY78Y3YZ1I6,0.7654092539161088
A3VIIH9ZNJ823H,0.7682684316440712
A2VWNZNFV8QCP0,0.7687839951913357
AJBBU53A0X84I,0.7690796174821911
A1N3DS96OC1VSP,0.7706973426996606
A1B3CNORXB1USI,0.771720850143894
A3N0E03AQD128O,0.7722815726513929
A1M8AYAL3L8ACP,0.772404171973671
A2C46HQIZLYJUC,0.7746949348373131
A1M3XD9UV3PD3I,0.7789178682222339
A768OB1LNE356,0.7790446724558261
A1J7TNASRMM7RE,0.7795654943384792
A3KBFCPNQ58YK4,0.779722064567955
A3UD50M7M72150,0.7807903946184067
AOX51LGDI2XP3,0.7812684800117026
A38VS0KEZ0W44C,0.7824260801926421
A1KG0F7VHZGO5L,0.7831674344433913
AKU08YQLMKO6D,0.7832301277767181
A6OLPMJ9HH4IP,0.7852698170467951
A2K2JY09CJI7HR,0.7856951415840046
A24JUT24W1K3CV,0.7864889893010729
A32QOZWIKQDNZX,0.7901083857153738
A39KDVU5JAXJIF,0.7908186466017505
A196D02N89FEK,0.7910378291408328
A2Y8JW5NSY95OL,0.7911463669032202
A3DF9X8J51MFDO,0.7917991562235877
A3USVXMH3QNRLG,0.7921118946957261
A2UX9BF36MYEXK,0.7928190701957498
A2BB6IKKR4G40J,0.7936648618421007
A3H4PZB9PGMWAA,0.7941919406472795
A2A1FY1R3J4ZKS,0.7944695742617885
A31VP8LQCQ1HUT,0.794473783598984
A3A4UKJUP34E18,0.794913286841377
A1ARIIDS0IPYLC,0.7949609035593025
A5SF5XIV42MW5,0.7953765921680891
A2P924QJ8N0QO0,0.7956243570063225
A1J8J8FQEMP8E6,0.7962153167275684
A17RJOIEGF8S1I,0.796884784043074
A3RHPUZBOP4D47,0.7985150187798683
A1H55L0BLPCWYF,0.7987518493064513
A1LDMAZ3C8Q907,0.7997028550379459
A10044ECXDUVKS,0.800160201452498
A2HDEN9SPBWC5I,0.8007300647411468
A1FJBWP2R3NSH4,0.8009546590110862
A2IDOKLAT1MP8X,0.8017572152856096
A14XXL4GMWSI47,0.8021504104185565
A2N4QZ92NBKJZZ,0.8031093645362274
ALHC64J88LVWO,0.8031340986476411
A3TA1UJWRJF9NC,0.8040192144508795
A15N3ETU8WWAUB,0.8040805422762033
AV2HVZ6BJG63Y,0.8045171719753353
A1LH6RF4UN9VI6,0.8047883418911603
ALMF1J8U7ESME,0.8050404885117493
A3GZ4FZE365SVJ,0.805476897580369
A3MZWM75KSM1P6,0.805891179552457
A1OV2BH2S11KBA,0.8061897406685948
A3R7R8ARVN2P3D,0.806640803190769
A21V6HGU6SU4JG,0.8068606876628277
A27DR1VO079F1V,0.8070602477779021
A38YA15XTW6CWG,0.8070814161085352
A11P7PDFFZFVWO,0.8077505716150104
A29ADW1P94TQ3E,0.807887523441849
A37WW789WSY81F,0.8083564690620232
A3USVJXZXK7XRI,0.8083576649181765
A16Z3HTUIYPDH8,0.8088550215083249
AL1PNYDIILV4D,0.8088882919335141
A37AQI4AU3JWSR,0.8089540462279002
AT09WGFUM934H,0.809072942316851
A1FQHYE75DCN3Z,0.8092101335438411
A23GJP3DRWFPFZ,0.8093587098101517
AGZJROPSY44SD,0.8094466763162528
A3GH47E9FF8WN1,0.8100176584738837
A31B0LYT2C92SN,0.8102659613847022
A20TFY5J3WNJU2,0.8117518370298431
A3237FOR4LVBZO,0.8119154141983215
A1BZHWOFQ9W3BP,0.8119775655246224
A18P5I03P4U8AI,0.8120657334467097
A28XKQJVWGX88K,0.8132427969608523
AWWN9XK9AHTG5,0.8142541064663734
A3PGQWCSJPCYDH,0.8145656024590419
A2RDI91JJM1KPT,0.8153384957063277
A2Y2U697SS98E1,0.8157956873705361
A3TBMAWIIHKHFN,0.8159504952517003
A3G6P4SJ8SYH9F,0.8163204858011275
A16T2376TXBZM2,0.8167926316472406
A3SUC2DJYHUU9Y,0.8167984005900305
A3CR1EV98GQ87X,0.8168089373576135
A27U7Z62JUZAXK,0.8176166476328339
A2TSUJLFHB61W3,0.8178976459191168
A1W1CUVUE6C64R,0.8179401130445388
ADG693PCMN6QM,0.8186993087778498
