Product,Goodness
B001BY4RQM,0.8761987472876193
B00191WVF6,0.8759553523236404
B000KIPT30,0.8722922497992449
B004FEGXDK,0.8699420642839063
B002M8GBT2,0.8671065924148901
B000GUR8V8,0.8664951363370699
B000068O1N,0.8664702990431584
B004Z17008,0.8649172685246312
B000RY68PA,0.8643144436340494
B000960KNW,0.8615733845194132
B000VZYS66,0.8609754967052236
B004MNTIL8,0.8595804837377283
B0007GGUGA,0.8591418548218769
B003TUG3UO,0.8569626560471011
B002ZH9JQC,0.8566984763949177
B000EEGAJW,0.8566147461051523
B0002E52RU,0.8552302030310841
B0002GTZR6,0.8546994719344776
B0040VSQHO,0.8545591571213268
B001IM5KFY,0.8544278020683926
B0002E2XCW,0.854179242938755
B0002F4SYM,0.8531010091038862
B000CEXPVA,0.8530618502785533
B00004Y2V2,0.8525119564077935
B000U0DU34,0.8525000798969495
B0007ORM0K,0.8522769881110175
B002433RXI,0.8522303557643754
B005M0TKL8,0.8517904137388339
B008R5OK9C,0.8512957015023135
B0002BACB4,0.850695185589331
B00007L2PD,0.8497456324907231
B00186L9X2,0.849739678112624
B001U0HB60,0.8496135447748783
B000RLBYZW,0.849319398390424
B004T6M7DE,0.8487014194943565
B0002D0E88,0.847819424400158
B0002CZV78,0.8477528459023668
B0002GZQGU,0.8467063287736147
B000XXBHA6,0.8466843964385277
B000002ZEV,0.8461654427876464
B0002CZVHI,0.8460281724591807
B0002E54ZU,0.8457066668211395
B0002BXO5U,0.845681931137572
B0036B8A20,0.8455549956687136
B0063FK5WO,0.844490436997455
B008B3P4FO,0.84441960650454
B000EEJF4O,0.8444156406139207
B0002E2QCY,0.8444116529982235
B000GYHR0Q,0.8443607323833021
B00389KMQM,0.8440960260721198
B00EUEWR2G,0.8432008272040759
B0007XWUQ2,0.8431953258489501
B000PO1H94,0.8428155639914341
B000OY4WA6,0.8425844138541996
B0002HLL8G,0.8425591103240678
B0039HBNMA,0.842447286100947
B005IQXUZI,0.8424013492024356
B000BKJPQY,0.8423100935144671
B005F3H6Q8,0.841918870076827
B0002E1UDK,0.8417382693585285
B000W00X1Y,0.841738109158805
B000OR5928,0.8414678331004032
B0002FOBJY,0.8408965740324188
B0002F77PE,0.840676497686616
B000K66A6C,0.8405195406773217
B0002D0KOG,0.8398230926639387
B00AHEWBM4,0.839110761430148
B0002DURNK,0.8389941613299386
B0002GFOEY,0.8389180106086338
B0007Y3XGW,0.8386977978562803
B0002M6BDQ,0.8382152510967613
B000PR3JEM,0.8382077136269744
B00AK3X32O,0.8379658915837394
B0036FFDSK,0.8378486268875001
B000SZVYLQ,0.8378100224629665
B0002IHDYG,0.8372626675656849
B006Y2FUW6,0.8365574324116893
B0037M62JQ,0.8364841760932686
B000EEHNP2,0.8359950748476942
B001FQ74FW,0.8358441113531279
B002Q0WT6U,0.8358124895885215
B000IOM21S,0.8354769068195164
B00BYISQTO,0.8352945922458387
B0009IEB0I,0.8352170636067294
B0002CZTIE,0.8350524738258915
B00B28D5TC,0.8350523648256307
B003H8Z71Y,0.8349580306186379
B00074B67A,0.8346112818387471
B00006OA3Z,0.8344463837510196
B009MBT68U,0.834154007122291
B0002ONAGK,0.8338011901807864
B000LQ5XW8,0.8336419631946853
B0002E4Z8M,0.8333514662887457
B0033P1O6S,0.8333078276903724
B000KIPTE4,0.8332880347470601
B003664G00,0.8332699323642542
B001CJ2QZU,0.8332267316472779
B000JVSVBA,0.8331275476761114
B00267OCTA,0.8330649159178563
B000S5V510,0.8328526480262946
B004UJHTEM,0.8327926421828918
B0001CCX8O,0.8327692874327073
B0002A2VT6,0.8327395123557693
B00IAD18NM,0.8326602354160133
B0002GKYZI,0.8324311773040568
