user,product,rating,Reliability
ALUTHT4U058KZ,B0002IHFVM,0.5,0.9429567088011228
A4XWMOFB1HY04,B0002IHFVM,0.5,0.942254610932822
A2MPM6M93OXIJT,B0002IHFVM,0.5,0.9405107446247561
AOMEH9W6LHC4S,B00GTSM8FW,0.5,0.9388705920023757
ADOSJR623FDF1,B0002IHFVM,0.5,0.9379225773376526
A3MDQTWO6NOV1U,B0002IHFVM,0.5,0.9378216008116511
A2CARFAX5FNQT9,B001DW6RJC,0.5,0.9373173713761294
A3K96R872MUM3D,B0037M62AK,0.5,0.9371801060476771
A220FPH51LXEFR,B0055V7UR0,0.5,0.935349828511212
A1WJVU9KICHFI,B0002IHFVM,0.5,0.9352574898833057
A35LD9QOJ5KDMC,B0026RB0G8,0.5,0.9351989375858936
AWN6DAI88TD4Y,B0002IHFVM,0.5,0.9349023402971408
A1BTNPMESS99PL,B005FKF1PY,0.5,0.9339812717602021
A1UMM894XSEO4F,B003LTJ404,0.5,0.9335027121307251
A29DX6G7W3PH43,B0002IHFVM,0.5,0.9333098026435203
AMVC9WTXYKNJ1,B0002H04NE,0.5,0.9319850525449531
A3RNEUUWTA78QR,B005FKF1PY,0.5,0.9318906133005328
A1JOANG98KBFKU,B005FKF1PY,0.5,0.930248297114973
AMVC9WTXYKNJ1,B0037M62AK,0.5,0.929750510519813
AWN6DAI88TD4Y,B001SC4I16,0.5,0.9293440247478162
A3923UGIPX0QQM,B005FKF1PY,0.5,0.9290120721659068
A1VR0GV8LPJYNF,B005PGGU9O,0.5,0.9286781466766751
AWQQ1QHCECDJ3,B0002E2GMY,0.5,0.9283823906693431
A1B9Q3SNKI6T5V,B0055V7UR0,0.5,0.9282656882022657
A35102AVKNO5JT,B003LTJ404,0.5,0.9281316045134742
AFBETARDFURG,B0002E2GMY,0.5,0.9276295971721417
A1YA2BPU7CVNJD,B0002IHFVM,0.5,0.9274773768438795
A1VOONTYYM0SDA,B0002IHFVM,0.5,0.9258077007246315
A4XWMOFB1HY04,B004FPEF84,0.5,0.9250792927263399
A3EZEP0FX5BC1P,B001SC4I16,0.5,0.9250327221163936
AENULRBQ2IE5I,B0002KZIVY,0.5,0.9247349890306473
A3PGVJF37JSHFO,B007TGWQZ0,0.5,0.924590846292062
A1BTNPMESS99PL,B001J5RYXQ,0.5,0.9243084688748507
A2IMQNWFXAQQJ6,B00A716FB0,0.5,0.9242985452753851
A34AJKMVLJCOSI,B00A716FB0,0.5,0.923474076947313
A2PN3GY7I3EKC1,B005FKF1PY,0.5,0.9233644477469893
A1VR0GV8LPJYNF,B004XNK7AI,0.5,0.9232300445495925
AFBETARDFURG,B000B6FBA2,0.5,0.9231648131177757
A3KZEGBTPH6MMF,B0037M62AK,0.5,0.9219671879128428
A27H0T39U3FZB5,B005FKF1PY,0.5,0.9216065005252236
A306NASGVUDFKF,B00GTSM8FW,0.5,0.9215718593520588
A30J7WQV0ZNRXG,B005FKF1PY,0.5,0.9214297085639025
AZJPNK73JF3XP,B0002GJ6FC,0.5,0.921173584157208
A1L2S18BTJE1BZ,B007YWHIP2,0.5,0.9208176851457899
ASEBPAY8IBNI2,B0002KZE7C,0.5,0.9207876360813236
AOMEH9W6LHC4S,B004XNK7AI,0.5,0.9207629079528059
A27JKERUXCM2PB,B007TGWQZ0,0.5,0.9205444469993836
A18RGYRCEN181M,B0002E2GMY,0.5,0.9202546778219739
A35LD9QOJ5KDMC,B0002M6B2M,0.5,0.9197812437643342
A1MVH1WLYDHZ49,B0002GJ6FC,0.5,0.9194076735617907
APN77K8OVE97N,B005PGGU9O,0.5,0.9193713602755378
A3K96R872MUM3D,B000PO30QM,0.5,0.9190621427570149
ANQ4OCX36QPYE,B0002GJ6FC,0.5,0.9190263406399155
ADH0O8UVJOT10,B0002CZV82,0.5,0.9188144976925973
A1YP96MT6W9FTB,B005FKF1PY,0.5,0.9187387688606047
A34AJKMVLJCOSI,B0002OOMU8,0.5,0.918738534388456
A8L6Z9U1TCP06,B00BU9KCXK,0.5,0.9185912754011043
A3SUC2DJYHUU9Y,B0002D0CIK,0.5,0.9184623956960538
A1LI9W7A0CYOHV,B004FPEF84,0.5,0.9182482970894732
A1UMM894XSEO4F,B005CX4GLE,0.5,0.9181203059347476
A1DZDG9AT98298,B0037M62AK,0.5,0.9179114483755857
A2H8IJVQNF2QCG,B000M23OQ8,0.5,0.9178742371337167
A1MAQQXJZTMSKT,B0002H04NE,0.5,0.9178703978972542
A10EYK3699YT9F,B0002M6B2M,0.5,0.9177755244774931
A2CARFAX5FNQT9,B005CX4GLE,0.5,0.9176864033644574
AURLBJJP9B2E3,B007YWHIP2,0.5,0.9172474094915797
A2X68NVO0SGCMC,B0002DV6RQ,0.5,0.9167875472309465
